8.8000 0.3400 0.5060 0.6400 0.4930
12.2000 0.3680 0.5260 0.6610 0.4940
10.9000 0.3400 0.5070 0.6310 0.4820
10.1000 0.3540 0.4970 0.6410 0.4890
6.7000 0.3250 0.4810 0.6350 0.4830
13.1000 0.3880 0.5420 0.6350 0.4860
10.8000 0.3600 0.5070 0.6140 0.4710
10.4000 0.3700 0.5230 0.6250 0.4660
7.7000 0.3340 0.4960 0.6420 0.4880
12.1000 0.3850 0.5670 0.6730 0.5120
14.7000 0.3630 0.5480 0.6500 0.4830
8.3000 0.3700 0.5140 0.6460 0.4890
10.4000 0.3770 0.5280 0.6490 0.4970
9.3000 0.3510 0.4980 0.6340 0.4630
9.2000 0.3540 0.4890 0.6560 0.5010
9.5000 0.3610 0.5090 0.6520 0.5060
8.5000 0.3720 0.5290 0.6380 0.4820
7.7000 0.3520 0.5120 0.6400 0.4730
9.3000 0.3520 0.5000 0.6520 0.4940
9.2000 0.3580 0.4990 0.6530 0.4920
8.5000 0.3270 0.5000 0.6440 0.4920
8.4000 0.3280 0.4890 0.6370 0.4820
10.1000 0.3460 0.4990 0.6380 0.4870
7.9000 0.3440 0.4950 0.6100 0.4690
10.2000 0.3630 0.5140 0.6220 0.4890
9.2000 0.3660 0.5110 0.6280 0.4710
9.0000 0.3980 0.5290 0.6610 0.5080
9.0000 0.3680 0.5170 0.6390 0.4860
9.4000 0.3640 0.5230 0.6360 0.5090
9.0000 0.3740 0.5270 0.6470 0.4870
