0.3800 0.5270 0.6590 0.5080
0.3270 0.4890 0.6640 0.5060
0.3310 0.4910 0.6420 0.4940
0.3180 0.4560 0.6430 0.5130
0.3530 0.4890 0.6650 0.5270
0.3670 0.5200 0.6570 0.4980
0.3520 0.5150 0.6360 0.4970
0.3250 0.4790 0.6540 0.4960
0.3440 0.4820 0.6450 0.4980
0.3980 0.5400 0.6630 0.5300
0.3480 0.5120 0.6780 0.5140
0.3520 0.4840 0.6550 0.5220
0.3760 0.5330 0.6510 0.5070
0.3440 0.4730 0.6370 0.4820
0.3390 0.4890 0.6490 0.5080
0.3350 0.5000 0.6470 0.4950
0.3630 0.4990 0.6580 0.5130
0.3320 0.4680 0.6330 0.4630
0.3700 0.5010 0.6650 0.5040
0.3470 0.4700 0.6200 0.4880
0.3390 0.4920 0.6570 0.5110
0.3470 0.4940 0.6320 0.4860
0.3200 0.4590 0.6500 0.5030
0.3410 0.5010 0.6480 0.5030
0.3620 0.5080 0.6620 0.5240
0.3410 0.4900 0.6510 0.4930
0.3670 0.5170 0.6400 0.5160
0.3520 0.5080 0.6540 0.4940
0.3430 0.4940 0.6380 0.5090
0.3600 0.4990 0.6510 0.5190
0.3500 0.5160 0.6620 0.5200
0.3350 0.4880 0.6640 0.5130
0.3520 0.4920 0.6310 0.4660
0.3620 0.5020 0.6510 0.5040
0.3710 0.4870 0.6550 0.5150
0.3620 0.5240 0.6530 0.5040
0.3440 0.5020 0.6580 0.4960
0.3380 0.4890 0.6290 0.4850
0.3450 0.4910 0.6450 0.4960
0.4160 0.5630 0.6680 0.5210
0.3470 0.5160 0.6390 0.4840
0.3510 0.4970 0.6660 0.5110
0.3640 0.5240 0.6620 0.5200
0.3170 0.4600 0.6530 0.4770
0.3310 0.4770 0.6350 0.4820
0.3360 0.5080 0.6530 0.5150
0.3450 0.4990 0.6480 0.4900
0.3380 0.4980 0.6450 0.4760
0.3600 0.4980 0.6310 0.4770
0.3460 0.4830 0.6590 0.5130
0.3490 0.5240 0.6580 0.5160
0.3500 0.5000 0.6410 0.4870
0.3390 0.4870 0.6410 0.4900
0.3480 0.4870 0.6230 0.4770
0.3700 0.5110 0.6290 0.4970
0.3590 0.5100 0.6340 0.4790
0.3750 0.5260 0.6690 0.5230
0.3700 0.5040 0.6270 0.5020
0.3550 0.5010 0.6430 0.5050
0.3580 0.5110 0.6290 0.4850
0.3400 0.5050 0.6400 0.4930
0.3680 0.5250 0.6610 0.4930
0.3390 0.5060 0.6310 0.4810
0.3520 0.4970 0.6410 0.4890
0.3240 0.4810 0.6350 0.4830
0.3900 0.5440 0.6350 0.4870
0.3570 0.5060 0.6140 0.4720
0.3700 0.5220 0.6250 0.4660
0.3380 0.4980 0.6420 0.4880
0.3890 0.5670 0.6730 0.5120
0.3650 0.5480 0.6500 0.4830
0.3700 0.5140 0.6460 0.4890
0.3770 0.5290 0.6490 0.4980
0.3500 0.4980 0.6340 0.4630
0.3520 0.4890 0.6560 0.5010
0.3600 0.5070 0.6520 0.5060
0.3700 0.5290 0.6380 0.4820
0.3500 0.5120 0.6400 0.4700
0.3520 0.4990 0.6520 0.4920
0.3600 0.4990 0.6530 0.4910
0.3220 0.5000 0.6440 0.4920
0.3300 0.4900 0.6370 0.4820
0.3470 0.5000 0.6380 0.4890
0.3440 0.4950 0.6100 0.4690
0.3620 0.5140 0.6220 0.4890
0.3650 0.5120 0.6280 0.4710
0.4000 0.5290 0.6610 0.5080
0.3700 0.5180 0.6390 0.4860
0.3650 0.5250 0.6360 0.5100
0.3730 0.5270 0.6470 0.6470
